Chegada,Status,Porto,Sentido,Peso,Quantidade
27/02/2025 20:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,1800 1800,1
27/03/2025 02:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,1800 1800,1
27/03/2025 20:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,1800 1800,1
28/02/2025 03:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,1530 15300,1
28/02/2025 08:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,1800 1800,1
28/02/2025 08:01:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,3600 3600,1
28/03/2025 08:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,1800 1800,1
28/03/2025 16:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,1800 1800,1
29/01/2025 14:15:00,LIQUIDO A GRANEL,PORTO_DE_SANTOS,Exp,25000,1
29/03/2025 02:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,1800 1800,1
29/03/2025 08:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,1800 1800,1
30/03/2025 02:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,1800 1800,1
30/03/2025 18:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,1800 1800,1
31/03/2025 11:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,1800 1800,1
